TYPE,MAN ID,PREFIX,S/N,EFL,DIA,RD 1,GL 1,TH 1,RD 2,GL 2,TH 2,RD 3,GL 3,TH 3,RD 4,GL 4,TH 4,RD 5,GL 5,TH 3,RD 6
LEN,E,ACH,45181,300,50,173.11,BaK4,9,-164.03,SF10,3.5,-709.83
LEN,E,ACH,45205,8,4,5.76,BaFN10,1.5,-3.49,SF10,1.03,-26.05
LEN,E,ACH,45206,10,5,7.17,BaFN10,1.73,-4.39,SF10,1.03,-33.96
LEN,E,ACH,45207,15,5,10.67,BaFN10,1.55,-6.46,SF10,1.03,-53.57
LEN,E,ACH,45208,10,6.25,6.98,BaFN10,3.06,-4.35,SF10,1.03,-41.01
LEN,E,ACH,45209,14,12.5,10.6,BaFN10,6.23,-7.72,SF5,1.5,-56.54
LEN,E,ACH,45210,35,12.5,22.94,SK11,3.68,-15.54,SF5,1.5,-58.84
LEN,E,ACH,45211,30,25,21.17,BaFN10,11.04,-16.08,SF10,3,-118.66
LEN,E,ACH,45212,45,25,28.75,SK11,7.89,-21.38,SF5,3,-82.92
LEN,E,ACH,45213,85,25,55.68,SK11,5.01,-38.37,SF5,3,-146.45
LEN,E,ACH,45214,225,25,139.53,BK7,3,-100.21,SF5,2.5,-291.32
LEN,E,ACH,45215,300,25,184.84,BK7,3,-134.06,SF5,2.5,-393.98
LEN,E,ACH,45216,400,25,244.65,BK7,3,-179.62,SF5,2.5,-534.1
LEN,E,ACH,45217,125,30,81.53,SK11,4.92,-56.59,SF5,2.5,-220.08
LEN,E,ACH,45218,60,40,37.33,SK11,14.46,-31.54,SF5,3,-124.51
LEN,E,ACH,45262,12,3,7.39,BK7,1.68,-5.15,SF5,1,-14.62
LEN,E,ACH,45263,50,6.25,30.77,BK7,2,-22.05,SF5,1,-64.6
LEN,E,ACH,45264,36,9,22.16,BK7,2.5,-15.98,SF5,1.5,-46.14
LEN,E,ACH,45265,100,12.5,61.54,BK7,3,-44.39,SF5,1.5,-130.26
LEN,E,ACH,45266,125,18,76.92,BK7,4.5,-55.48,SF5,2,-162.59
LEN,E,ACH,45267,60,20,35.92,BK7,5,-28.12,SF5,2,-83.79
LEN,E,ACH,45268,500,25,290.71,BK7,3,-232.07,SF5,2.5,-750.52
LEN,E,ACH,45269,300,30,184.4,BK7,4.5,-133.95,SF5,2.5,-394.96
LEN,E,ACH,45270,500,40,305.31,BK7,6,-224.08,SF5,4,-667.68
LEN,E,ACH,45271,500,50,305.74,BK7,8,-223.2,SF5,4,-663.82
LEN,E,ACH,45345,60,6.25,37.16,BK7,2.3,-26.28,SF5,1,-76.48
LEN,E,ACH,45346,12,9,8.37,BaFN10,5,-7.01,SF57,2,-26.18
LEN,E,ACH,45347,45,9,27.83,BK7,3,-19.75,SF5,1.3,-57.06
LEN,E,ACH,45348,30,18,20.73,BaFN10,6.91,-14.31,SF10,2,-133.58
LEN,E,ACH,45349,60,18,42.51,BaFN10,3.85,-26.24,SF10,2,-226.77
LEN,E,ACH,45350,75,18,53.03,BaFN10,3.27,-32.72,SF10,2,-288.05
LEN,E,ACH,45351,35,20,24.24,BaFN11,7.33,-15.96,SF10,1.76,-139.78
LEN,E,ACH,45352,450,40,279.6,BK7,6,-199.51,SF5,4,-579.39
LEN,E,ACH,45353,100,50,69.28,BaFN10,13.92,-46.95,SF10,4,-446.01
LEN,E,ACH,45354,350,50,227.16,BaK4,8,-174.83,SF10,4,-571.49
LEN,E,ACH,45407,7.5,5,5.56,BaFN10,3.72,-3.09,SF10,1.03,-18.25
