,,,PARTNUM,EFL,DIA,R1,G1,CT1,R2,G2,CT2,R3,G3,CT3,R4
LEN,RO,,L-AOC087,40.5,13,26.04,SK11,3.33,-18.02,SF5,1.3,-72.031
LEN,RO,,L-AOC088,51,13,31.295,BK7,3,-22.9,SF5,1.3,-66.693
LEN,RO,,L-AOC089,50,13.5,30.808,BK7,4,-22.217,SF5,2,-63.922
LEN,RO,,L-AOC090,25,15,17.97,BAFN11,6.27,-11.2,SF10,1.76,-85.31
LEN,RO,,L-AOC091,635,130,385.505,BK7,20,-289.185,SF5,7.7,-862.069
LEN,RO,,L-AOC092,30.1,15,18.17,BK7,6,-13.39,SF2,2,-41.399
LEN,RO,,L-AOC093,40,15,26.97,BAFN10,5.98,-17.64,SF10,1.6,-205.04
LEN,RO,,L-AOC094,40.1,15,23.395,BK7,4.9,-17.6,SF2,2,-60.31
LEN,RO,,L-AOC095,50,15,26.81,BK7,5,-23.82,SF5,1.5,-90.794
LEN,RO,,L-AOC096,50.1,15,31.125,BK7,4.3,-21.462,SF2,2,-66.216
LEN,RO,,L-AOC097,59.9,15,36.331,BK7,3.9,-25.779,SF2,2,-83.403
LEN,RO,,L-AOC098,70.2,15,41.399,BK7,3.7,-30.153,SF2,2,-103.799
LEN,RO,,L-AOC099,75,15,39.61,BK7,5,-36.46,SF5,2.5,-145.012
LEN,RO,,L-AOC100,12,7,6.882,BK7,3.9,-5.173,SF8,0.8,-15.395
LEN,RO,,L-AOC101,79.9,15,46.108,BK7,3.5,-34.499,SF2,2,-124.564
LEN,RO,,L-AOC106,61.16,22.1,35.76,BK7,6.4,-27.743,SF5,2,-87.012
LEN,RO,,L-AOC107,85.75,22.1,52.142,BK7,8.3,-37.329,SF5,3,-110.369
LEN,RO,,L-AOC108,64.16,28.9,41.514,BAK4,7.59,-29.314,SF1,2.69,-99.809
LEN,RO,,L-AOC109,85.75,28.85,50.81,BK7,8.3,-38.584,SF5,3.3,-118.129
LEN,RO,,L-AOC111,100,15,55.985,BK7,3.2,-43.253,SF2,2,-167.701
LEN,RO,,L-AOC113,86,33,49.882,BK7,8.8,-39.526,SF5,3,-125.423
LEN,RO,,L-AOC114,107.06,33.02,70.383,BAK1,8.61,-43.536,SF12,2.85,-213.868
LEN,RO,,L-AOC115,163.58,33.02,105.004,BAK1,9.3,-57.15,FN11,3.5,-402.082
LEN,RO,,L-AOC117,107.06,38.1,70.383,BAK1,8.61,-43.536,SF12,2.85,-213.868
LEN,RO,,L-AOC118,163.58,38.1,105.004,BAK1,9.3,-57.15,FN11,3.5,-402.082
LEN,RO,,L-AOC119,648.51,43.05,176.592,BK7,9,-51.345,F2,5,-1037.419
LEN,RO,,L-AOC120,750.32,47.04,203.91,BK7,9,-59.288,F2,5,-1197.909
LEN,RO,,L-AOC121,48,16,23.415,BK7,4.2,-23.415,SF5,1.5,-124.186
LEN,RO,,L-AOC122,35,17,24.314,BAFN10,5.1,-18.522,SF11,1.5,-105.363
LEN,RO,,L-AOC123,80.8,17,49.5,BK7,2.8,-36.39,SF5,1.3,-106.975
LEN,RO,,L-AOC124,90,17,51.97,BK7,6.5,-36.34,F4,1.5,-149.544
LEN,RO,,L-AOC125,240,110,166.085,BAFN10,28,-130.804,SF11,6.9,-759.878
LEN,RO,,L-AOC126,105,17.9,64.267,BK7,3.3,-47.219,SF5,2,-139.024
LEN,RO,,L-AOC127,75,18,45.748,BK7,4.8,-33.43,SF5,1.5,-98.658
LEN,RO,,L-AOC128,78.1,18.2,47.642,BK7,4.8,-34.837,SF5,1.5,-102.849
LEN,RO,,L-AOC129,31,18.5,21.34,BAFN10,7.8,-16.174,SF11,2,-93.677
LEN,RO,,L-AOC130,56,19,35.991,SK11,4.44,-25.13,SF5,1.5,-100.533
LEN,RO,,L-AOC131,60,19,36.909,BK7,4.5,-27.103,SF5,1.8,-78.095
LEN,RO,,L-AOC132,19.76,15.2,23.804,BK7,4,-17.706,SF5,1.5,-16.831
LEN,RO,,L-AOC133,500,100,303.306,BK7,17,-227.69,SF5,9.1,-677.97
LEN,RO,,L-AOC134,190,19,148.822,BK7,3,-73.573,SF5,3,-171.099
LEN,RO,,L-AOC135,30,20,21.41,H_BAF11,8.4,-13.75,SF10,1.76,-105.586
LEN,RO,,L-AOC136,40,20,27.63,BAFN10,8,-17.58,SF10,2,-171.262
LEN,RO,,L-AOC137,45,20,31.118,BAFN10,6.1,-23.732,SF11,2,-137.67
LEN,RO,,L-AOC138,50.2,20,30.153,BK7,6.1,-22.13,SF2,2,-71.444
LEN,RO,,L-AOC139,60,30,39.49,SK11,9.99,-27.8,SF5,2.47,-100.98
LEN,RO,,L-AOC140,55,20,33.967,BK7,5.1,-25.008,SF5,2,-71.018
LEN,RO,,L-AOC141,60.2,20,37.408,BK7,5.4,-26,SF2,2,-80
LEN,RO,,L-AOC143,70.1,20,42.384,BK7,4.9,-30.373,SF2,2,-98.902
LEN,RO,,L-AOC144,300,31.5,210.75,BAK4,5,-81.29,F3,4.4,-515.63
LEN,RO,,L-AOC145,99.5,20,58.5,BK7,4.1,-43.253,SF2,2,-149.993
LEN,RO,,L-AOC146,120.3,20,68.287,BK7,3.7,-51.999,SF2,2,-195.389
LEN,RO,,L-AOC147,149.8,20,84.303,BK7,3.4,-64.998,SF2,2,-250
LEN,RO,,L-AOC148,170,20,93.58,BK7,3.3,-74.588,SF2,2,-302.663
LEN,RO,,L-AOC149,200,20,157.23,BK7,5,-76.9,SF5,3.2,-178.505
LEN,RO,,L-AOC150,250,20,122.294,BK7,2.2,-122.294,SF2,2,-758.725
LEN,RO,,L-AOC151,300,20,146.606,BK7,2.7,-146.606,SF2,2,-914.077
LEN,RO,,L-AOC152,61.8,20.6,36.829,BK7,6.1,-27.702,SF5,2,-83.593
LEN,RO,,L-AOC153,128,20.6,116.077,BK7,4.6,-37.57,F4,3.9,-101.225
LEN,RO,,L-AOC154,71,22,43.514,BK7,5.3,-32.194,SF5,1.5,-93.572
LEN,RO,,L-AOC155,61,23,37.5,BK7,6.6,-27.752,SF5,2,-79.258
LEN,RO,,L-AOC156,400,100,243.605,BK7,17,-182.682,SF5,5,-539.957
LEN,RO,,L-AOC157,79.9,23,50.78,SK11,6,-34.04,SF5,2.5,-141.904
LEN,RO,,L-AOC158,30,25,21.17,BAFN10,11.04,-16.08,SF10,3,-118.666
LEN,RO,,L-AOC159,35,25,24.47,BAFN11,11,-16.49,SF10,2.5,-131.648
LEN,RO,,L-AOC160,40,25,27.97,BAFN11,9.5,-18.85,SF10,2.5,-152.929
LEN,RO,,L-AOC161,45,25,28.75,SK11,7.89,-21.38,SF5,3,-82.919
LEN,RO,,L-AOC162,60,25,34.43,BK7,9,-27.09,SF5,3,-87.143
LEN,RO,,L-AOC163,69.9,25,41.399,BK7,6.5,-31.125,SF2,2.5,-104.042
LEN,RO,,L-AOC164,75,25,46.44,BK7,7,-33.77,SF5,2.5,-95.942
LEN,RO,,L-AOC165,80,25,49.099,BK7,6,-34.868,SF2,2.5,-110
LEN,RO,,L-AOC166,85,25,55.679,SK11,5.01,-38.37,SF5,3,-146.456
LEN,RO,,L-AOC167,100,25,58.251,BK7,5.9,-41.09,F4,1.6,-170.27
LEN,RO,,L-AOC168,105,25,64.276,BK7,4.7,-47.389,SF5,2,-138
LEN,RO,,L-AOC169,120,25,70.661,BK7,7.6,-49.781,F4,2,-199.96
LEN,RO,,L-AOC170,125,25,76.278,BK7,6,-54.549,SF5,2.4,-162.443
LEN,RO,,L-AOC171,150,25,91.37,BK7,5.7,-66.21,SF5,2.2,-197.71
LEN,RO,,L-AOC172,160,25,93.976,BK7,4,-65.249,F4,2,-267.74
LEN,RO,,L-AOC173,170.4,25,98.001,BK7,3.9,-73.899,SF2,2.5,-269.978
LEN,RO,,L-AOC174,175,25,118.991,SSK4,3,-78.382,SF8,2.5,-476.191
LEN,RO,,L-AOC175,200,25,114.732,BK7,3.6,-81.92,F4,2,-357.271
LEN,RO,,L-AOC176,225,25,139.528,BK7,3,-100.21,SF5,2.5,-291.29
LEN,RO,,L-AOC177,250,25,129.407,BK7,3.3,-129.407,SF5,2,-553.537
LEN,RO,,L-AOC178,300,25,184.843,BK7,3,-134.066,SF5,2.5,-394.011
LEN,RO,,L-AOC179,400,25,207.98,BK7,3,-207.98,SF5,2,-877.738
LEN,RO,,L-AOC180,50.1,25.4,32.5,BK7,8.4,-22.245,SF2,2.5,-61.399
LEN,RO,,L-AOC181,80,25.4,46.911,BK7,5.9,-32.62,F4,1.4,-132.802
LEN,RO,,L-AOC182,100,25.4,58.251,BK7,5.9,-41.09,F4,1.6,-170.271
LEN,RO,,L-AOC183,120,25.4,73.449,BK7,7.6,-42.804,SF5,2,-155.74
LEN,RO,,L-AOC184,125,25.4,76.952,BK7,4.8,-55.758,SF5,2.5,-162.76
LEN,RO,,L-AOC185,160,25.4,93.976,BK7,4,-65.249,F4,2,-267.738
LEN,RO,,L-AOC186,200,25.4,114.732,BK7,3.6,-81.92,F4,2,-357.271
LEN,RO,,L-AOC187,250,25.4,145.518,BK7,3.3,-101.698,F4,2,-428.817
LEN,RO,,L-AOC188,400,25.4,233.536,BK7,3,-163.319,F4,2,-683.995
LEN,RO,,L-AOC189,58,29,40.12,BAFN10,7.5,-37.727,SF11,1.5,-184.604
LEN,RO,,L-AOC190,76,29,46.601,BK7,8,-34.882,SF5,2,-100.04
LEN,RO,,L-AOC191,100,29,61.23,BK7,7,-45.147,SF5,2,-131.683
