TYPE,MAN ID,CAT,S/N,EFL,HEIGHT,WIDTH,RD 1,GL 1,TH 1,RD 2,,,
CYL,CV,VIS,RCC-40.0-25.4-203.4-C,-400.0,25.4,40.0,203.4,N-BK7,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-203.4-UV,-400.0,25.4,40.0,203.4,SILUV,5.0,0,,,
CYL,CV,VIS,RCC-40.0-25.4-25.4-C,-50.0,25.4,40.0,25.4,N-BK7,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-25.4-CFUV,-50.0,25.4,40.0,25.4,CAFUV,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-25.4-UV,-50.0,25.4,40.0,25.4,SILUV,5.0,0,,,
CYL,CV,VIS,RCC-40.0-25.4-254.3-C,-500.0,25.4,40.0,254.3,N-BK7,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-254.3-CFUV,-500.0,25.4,40.0,254.3,CAFUV,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-254.3-UV,-500.0,25.4,40.0,254.3,SILUV,5.0,0,,,
CYL,CV,VIS,RCC-40.0-25.4-30.5-C,-60.0,25.4,40.0,30.5,N-BK7,4.3,0,,,
CYL,CV,UV,RCC-40.0-25.4-30.5-CFUV,-60.0,25.4,40.0,30.5,CAFUV,4.3,0,,,
CYL,CV,UV,RCC-40.0-25.4-30.5-UV,-60.0,25.4,40.0,30.5,SILUV,4.3,0,,,
CYL,CV,VIS,RCC-40.0-25.4-38.1-C,-75.0,25.4,40.0,38.1,N-BK7,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-38.1-CFUV,-75.0,25.4,40.0,38.1,CAFUV,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-38.1-UV,-75.0,25.4,40.0,38.1,SILUV,5.0,0,,,
CYL,CV,VIS,RCC-40.0-25.4-381.4-C,-750.0,25.4,40.0,381.4,N-BK7,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-381.4-UV,-750.0,25.4,40.0,381.4,SILUV,5.0,0,,,
CYL,CV,VIS,RCC-40.0-25.4-50.9-C,-100.0,25.4,40.0,50.9,N-BK7,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-50.9-CFUV,-100.0,25.4,40.0,50.9,CAFUV,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-50.9-UV,-100.0,25.4,40.0,50.9,SILUV,5.0,0,,,
CYL,CV,VIS,RCC-40.0-25.4-508.6-C,-1000.0,25.4,40.0,508.6,N-BK7,5.0,0,,,
