TYPE,MAN ID,CAT,S/N,EFL,DIA 100%,RD 1,GL 1,TH 1,RD 2,GL 2,TH 2,RD 3,GL 3,TH 3,RD 4,GL 4,TH 4,RD 5,GL 5,TH 5,RD 6
LEN,CV,UV,BICX-10.0-35.6-UV,37.8,10,35.6,SILUV,2.4,-35.6
LEN,CV,VIS,BICX-10.0-51.0-C,49.9,10,51,N-BK7,2.4,-51
LEN,CV,UV,BICX-10.0-51.1-UV,54.1,10,51.1,SILUV,2.4,-51.1
LEN,CV,UV,BICX-10.0-61.4-UV,64.9,10,61.4,SILUV,2.4,-61.4
LEN,CV,VIS,BICX-10.0-76.9-C,80.4,10,76.9,N-BK7,4,-76.9
LEN,CV,UV,BICX-10.0-76.9-UV,81.2,10,76.9,SILUV,2.4,-76.9
LEN,CV,VIS,BICX-10.0-9.4-C,10,10,9.4,N-BK7,4.8,-9.4
LEN,CV,VIS,BICX-12.7-12.5-C,13,12.7,12.5,N-BK7,5,-12.5
LEN,CV,VIS,BICX-12.7-14.4-C,15,12.7,14.4,N-BK7,5.9,-14.4
LEN,CV,UV,BICX-12.7-14.4-UV,16.2,12.7,14.4,SILUV,5.9,-14.4
LEN,CV,VIS,BICX-12.7-25.2-C,25,12.7,25.2,N-BK7,3.3,-25.2
LEN,CV,UV,BICX-12.7-25.2-UV,27,12.7,25.2,SILUV,3.3,-25.2
LEN,CV,VIS,BICX-12.7-25.5-C,25.4,12.7,25.5,N-BK7,3.6,-25.5
LEN,CV,UV,BICX-12.7-25.5-UV,27.4,12.7,25.5,SILUV,3.6,-25.5
LEN,CV,UV,BICX-15.0-102.4-UV,108,15,102.4,SILUV,2.7,-102.4
LEN,CV,VIS,BICX-15.0-102.6-C,100,15,102.6,N-BK7,2.7,-102.6
LEN,CV,UV,BICX-15.0-128.4-UV,135.3,15,128.4,SILUV,2.4,-128.4
LEN,CV,VIS,BICX-15.0-128.8-C,125.4,15,128.8,N-BK7,2.4,-128.8
LEN,CV,VIS,BICX-15.0-17.4-C,18,15,17.4,N-BK7,6.1,-17.4
LEN,CV,UV,BICX-15.0-17.4-UV,19.4,15,17.4,SILUV,6.1,-17.4
LEN,CV,VIS,BICX-15.0-18.8-C,19,15,18.8,N-BK7,4.1,-18.8
LEN,CV,VIS,BICX-15.0-19.7-C,20,15,19.7,N-BK7,4.9,-19.7
LEN,CV,UV,BICX-15.0-19.7-UV,21.6,15,19.7,SILUV,4.9,-19.7
LEN,CV,VIS,BICX-15.0-205.7-C,200,15,205.7,N-BK7,2.2,-205.7
LEN,CV,UV,BICX-15.0-205.7-UV,216.4,15,205.7,SILUV,2.2,-205.7
LEN,CV,VIS,BICX-15.0-25.0-C,25,15,25,N-BK7,4.5,-25
LEN,CV,UV,BICX-15.0-25.0-UV,27,15,25,SILUV,4.5,-25
LEN,CV,UV,BICX-15.0-35.4-UV,37.8,15,35.4,SILUV,3.6,-35.4
LEN,CV,VIS,BICX-15.0-51.0-C,50,15,51,N-BK7,2.9,-51
LEN,CV,UV,BICX-15.0-51.0-UV,54.1,15,51,SILUV,2.9,-51
LEN,CV,VIS,BICX-15.0-61.3-C,60,15,61.3,N-BK7,2.7,-61.3
LEN,CV,VIS,BICX-15.0-76.8-C,75,15,76.8,N-BK7,2.7,-76.8
LEN,CV,UV,BICX-15.0-76.8-UV,81.1,15,76.8,SILUV,2.7,-76.8
LEN,CV,UV,BICX-19.1-102.5-UV,108.2,19.1,102.5,SILUV,3.2,-102.5
LEN,CV,UV,BICX-19.1-19.1-UV,21.6,19.1,19.1,SILUV,8.2,-19.1
LEN,CV,VIS,BICX-19.1-205.6-C,200.2,19.1,205.6,N-BK7,3.7,-205.6
LEN,CV,UV,BICX-19.1-205.6-UV,216.4,19.1,205.6,SILUV,3.7,-205.6
LEN,CV,VIS,BICX-19.1-21.4-C,22,19.1,21.4,N-BK7,6.9,-21.4
LEN,CV,UV,BICX-19.1-21.4-UV,23.7,19.1,21.4,SILUV,6.9,-21.4
LEN,CV,VIS,BICX-19.1-25.1-C,25.4,19.1,25.1,N-BK7,6.1,-25.1
LEN,CV,VIS,BICX-19.1-29.8-C,30,19.1,29.8,N-BK7,6.3,-29.8
LEN,CV,UV,BICX-19.1-29.8-UV,32.4,19.1,29.8,SILUV,6.3,-29.8
LEN,CV,UV,BICX-19.1-35.2-UV,37.8,19.1,35.2,SILUV,4.7,-35.2
LEN,CV,VIS,BICX-19.1-50.7-C,50,19.1,50.7,N-BK7,4.5,-50.7
LEN,CV,VIS,BICX-25.0-128.2-C,125.1,25,128.2,N-BK7,4.2,-128.2
LEN,CV,VIS,BICX-25.0-24.2-C,25,25,24.2,N-BK7,8.5,-24.2
LEN,CV,VIS,BICX-25.0-40.2-C,40,25,40.2,N-BK7,5.9,-40.2
LEN,CV,VIS,BICX-25.0-50.6-C,50,25,50.6,N-BK7,5.1,-50.6
LEN,CV,VIS,BICX-25.0-76.6-C,75,25,76.6,N-BK7,4,-76.6
LEN,CV,VIS,BICX-25.4-102.4-C,100.1,25.4,102.4,N-BK7,4.2,-102.4
LEN,CV,UV,BICX-25.4-102.4-MF,127.6,25.4,102.4,MGF2_O,3.5,-102.4
LEN,CV,UV,BICX-25.4-102.4-UV,108.1,25.4,102.4,SILUV,4.2,-102.4
LEN,CV,VIS,BICX-25.4-1029.8-C,1000,25.4,1029.8,N-BK7,2.2,-1029.8
LEN,CV,UV,BICX-25.4-1029.8-UV,1082,25.4,1029.8,SILUV,2.4,-1029.8
LEN,CV,UV,BICX-25.4-103.4-UV,109,25.4,103.4,SILUV,4.2,-103.4
LEN,CV,VIS,BICX-25.4-128.2-C,125.1,25.4,128.2,N-BK7,4.2,-128.2
LEN,CV,UV,BICX-25.4-128.2-UV,135.2,25.4,128.2,SILUV,4.2,-128.2
LEN,CV,VIS,BICX-25.4-154.0-C,150.2,25.4,154,N-BK7,4.2,-154
LEN,CV,UV,BICX-25.4-154.0-MF,191.4,25.4,154,MGF2_O,2.8,-154
LEN,CV,UV,BICX-25.4-154.0-UV,162.2,25.4,154,SILUV,4.2,-154
LEN,CV,VIS,BICX-25.4-205.6-C,200.2,25.4,205.6,N-BK7,4.2,-205.6
LEN,CV,UV,BICX-25.4-205.6-UV,216.4,25.4,205.6,SILUV,4.2,-205.6
LEN,CV,VIS,BICX-25.4-2060.0-C,2000,25.4,2060,N-BK7,2.1,-2060
LEN,CV,UV,BICX-25.4-2060.0-UV,2163.9,25.4,2060,SILUV,2.2,-2060
