TYPE,MAN ID,CAT,S/N,EFL,DIA,RD 1,GL 1,TH 1,RD 2,GL 2,TH 2,RD 3
LEN,O,PCX,43220,75,38.1,29.718,CAF,8.9,0
LEN,O,PCX,43240,150,38.1,60.007,CAF,4.3,0
LEN,O,PCX,40209,16,12.7,8,BK7,4,0
LEN,O,PCX,40210,19,12.7,9.8,BK7,3.3,0
LEN,O,PCX,40220,25,12.7,12.5,BK7,2.7,0
LEN,O,PCX,40230,38,12.7,19,BK7,2.1,0
LEN,O,PCX,40240,50,12.7,25,BK7,2,0
LEN,O,PCX,40250,75,12.7,38.32,BK7,2,0
LEN,O,PCX,40252,100,12.7,50,BK7,2,0
LEN,O,PCX,40254,125,12.7,62.5,BK7,2,0
LEN,O,PCX,40256,150,12.7,75,BK7,2,0
LEN,O,PCX,40258,200,12.7,100,BK7,2,0
LEN,O,PCX,40329,33,25.4,16.5,BK7,7.2,0
LEN,O,PCX,40330,38,25.4,19,BK7,6.2,0
LEN,O,PCX,40340,50,25.4,25,BK7,4.8,0
LEN,O,PCX,40345,63,25.4,31.5,BK7,4.1,0
LEN,O,PCX,40350,75,25.4,37.5,BK7,4,0
LEN,O,PCX,40354,88,25.4,44,BK7,4,0
LEN,O,PCX,40360,100,25.4,50,BK7,4,0
LEN,O,PCX,40365,125,25.4,62.5,BK7,4,0
LEN,O,PCX,40370,150,25.4,75,BK7,4,0
LEN,O,PCX,40375,175,25.4,87.5,BK7,4,0
LEN,O,PCX,40380,200,25.4,100,BK7,4,0
LEN,O,PCX,40390,250,25.4,125,BK7,4,0
LEN,O,PCX,40400,350,25.4,175,BK7,4,0
LEN,O,PCX,40410,500,25.4,250,BK7,4,0
LEN,O,PCX,40415,750,25.4,375,BK7,4,0
LEN,O,PCX,40420,1000,25.4,500,BK7,4,0
LEN,O,PCX,40540,50,38.1,25,BK7,10.2,0
LEN,O,PCX,40554,63,38.1,31.5,BK7,8,0
LEN,O,PCX,40550,75,38.1,37.5,BK7,6.8,0
LEN,O,PCX,40555,88,38.1,44,BK7,6,0
LEN,O,PCX,40560,100,38.1,50,BK7,5.5,0
LEN,O,PCX,40565,125,38.1,62.5,BK7,5,0
LEN,O,PCX,40570,150,38.1,75,BK7,5,0
LEN,O,PCX,40575,175,38.1,87.5,BK7,5,0
LEN,O,PCX,40580,200,38.1,100,BK7,5,0
LEN,O,PCX,40590,250,38.1,125,BK7,5,0
LEN,O,PCX,40600,350,38.1,175,BK7,5,0
LEN,O,PCX,40610,500,38.1,250,BK7,5,0
LEN,O,PCX,40615,750,38.1,375,BK7,5,0
LEN,O,PCX,40620,1000,38.1,500,BK7,5,0
LEN,O,PCX,40749,65,50.8,32.5,BK7,13.6,0
LEN,O,PCX,40750,75,50.8,37.5,BK7,11.5,0
LEN,O,PCX,40755,88,50.8,44,BK7,9.8,0
LEN,O,PCX,40760,100,50.8,50,BK7,8.7,0
LEN,O,PCX,40765,125,50.8,62.5,BK7,7.2,0
LEN,O,PCX,40770,150,50.8,75,BK7,6.4,0
LEN,O,PCX,40775,175,50.8,87.5,BK7,6.4,0
LEN,O,PCX,40780,200,50.8,100,BK7,6.4,0
LEN,O,PCX,40790,250,50.8,125,BK7,6.4,0
LEN,O,PCX,40800,350,50.8,175,BK7,6.4,0
LEN,O,PCX,40810,500,50.8,250,BK7,6.4,0
LEN,O,PCX,40815,750,50.8,375,BK7,6.4,0
LEN,O,PCX,40820,1000,50.8,500,BK7,6.4,0
LEN,O,PCX,40825,1500,50.8,750,BK7,6.4,0
LEN,O,PCX,40830,2000,50.8,1000,BK7,6.4,0
LEN,O,PCX,40960,100,76.2,50,BK7,19.3,0
LEN,O,PCX,40965,125,76.2,62.5,BK7,14.9,0
LEN,O,PCX,40970,150,76.2,75,BK7,12.5,0
LEN,O,PCX,40975,175,76.2,87.5,BK7,10.9,0
LEN,O,PCX,40980,200,76.2,100,BK7,9.8,0
LEN,O,PCX,40990,250,76.2,125,BK7,8.5,0
LEN,O,PCX,40995,350,76.2,175,BK7,8.5,0
LEN,O,PCX,41010,500,76.2,250,BK7,8.5,0
LEN,O,PCX,41011,750,76.2,375,BK7,8.5,0
LEN,O,PCX,41012,1000,76.2,500,BK7,8.5,0
LEN,O,PCX,41013,1500,76.2,750,BK7,8.5,0
LEN,O,PCX,41014,2000,76.2,1000,BK7,8.5,0
LEN,O,PCX,41015,150,101.6,75,BK7,22,0
LEN,O,PCX,41016,200,101.6,100,BK7,16.4,0
LEN,O,PCX,41017,250,101.6,125,BK7,13.4,0
LEN,O,PCX,41018,500,101.6,250,BK7,11.3,0
LEN,O,PCX,41019,1000,101.6,500,BK7,11.3,0
LEN,O,PCX,41115,9.5,6.35,4.36,Quartz,2.1,0
LEN,O,PCX,41116,12.7,6.35,5.88,Quartz,1.6,0
LEN,O,PCX,41117,19,6.35,8.75,Quartz,1.3,0
LEN,O,PCX,41118,25,6.35,11.51,Quartz,1.2,0
LEN,O,PCX,41119,38,6.35,17.45,Quartz,1.2,0
LEN,O,PCX,41209,16,12.7,7.39,Quartz,4.7,0
LEN,O,PCX,41210,19,12.7,8.75,Quartz,3.8,0
LEN,O,PCX,41220,25,12.7,11.51,Quartz,3,0
LEN,O,PCX,41230,38,12.7,17.45,Quartz,2.2,0
LEN,O,PCX,41240,50,12.7,23.01,Quartz,2,0
LEN,O,PCX,41250,75,12.7,34.42,Quartz,2,0
LEN,O,PCX,41252,100,12.7,46.01,Quartz,2,0
LEN,O,PCX,41254,125,12.7,57.66,Quartz,2,0
LEN,O,PCX,41256,150,12.7,69.19,Quartz,2,0
LEN,O,PCX,41258,200,12.7,92.07,Quartz,2,0
LEN,O,PCX,41329,33,25.4,15.05,Quartz,8.4,0
LEN,O,PCX,41330,38,25.4,17.45,Quartz,7,0
LEN,O,PCX,41340,50,25.4,23.01,Quartz,5.4,0
LEN,O,PCX,41345,63,25.4,29,Quartz,4.5,0
LEN,O,PCX,41350,75,25.4,34.42,Quartz,4,0
LEN,O,PCX,41354,88,25.4,40.61,Quartz,4,0
LEN,O,PCX,41360,100,25.4,46.01,Quartz,4,0
LEN,O,PCX,41365,125,25.4,57.66,Quartz,4,0
LEN,O,PCX,41370,150,25.4,69.19,Quartz,4,0
LEN,O,PCX,41375,175,25.4,80,Quartz,4,0
LEN,O,PCX,41380,200,25.4,92.07,Quartz,4,0
