Type,ID,Cat,Part #,EFL,Diameter,R1,Glass 1,Th 1,R2,Glass 2,Th 2,R3,,
LEN,TL,AC,AC254-300-C,299.87,25.40,52.48,SF2,4.50,-68.54,N-SF6HT,2.50,112.21,,
LEN,TL,AC,AC254-400-A,399.27,25.40,219.80,N-BK7,4.00,-181.55,SF2,2.00,-738.50,,
LEN,TL,AC,AC254-400-B,400.41,25.40,83.60,SF5,3.50,-106.41,N-SF6HT,1.80,181.55,,
LEN,TL,AC,AC254-400-C,400.11,25.40,70.00,SF2,4.20,-93.11,N-SF6HT,2.50,151.36,,
LEN,TL,AC,AC254-500-A,502.45,25.40,337.30,N-BK7,4.00,-186.75,SF2,2.00,-557.40,,
LEN,TL,AC,AC254-500-B,500.21,25.40,60.60,SF10,4.00,-62.75,N-SF6HT,2.00,87.57,,
LEN,TL,AC,AC254-500-C,497.64,25.40,87.90,SF2,3.50,-115.45,N-SF6HT,2.00,194.54,,
LEN,TL,AC,AC300-050-A,50.14,30.00,34.04,N-BAF10,8.50,-29.38,N-SF6HT,2.00,-161.50,,
LEN,TL,AC,AC300-050-B,50.02,30.00,30.76,N-BAF10,9.50,-27.86,N-SF6HT,2.00,-272.90,,
LEN,TL,AC,AC300-050-C,50.07,30.00,41.69,N-BAF10,10.00,-22.70,N-SF6HT,2.00,-75.68,,
LEN,TL,AC,AC300-080-A,80.01,30.00,55.98,N-BAF10,8.50,-44.17,N-SF6HT,2.00,-219.80,,
LEN,TL,AC,AC300-080-B,79.99,30.00,52.48,N-LAK22,6.50,-42.69,N-SF6HT,2.00,-216.30,,
LEN,TL,AC,AC300-080-C,80.44,30.00,29.38,N-BAF10,9.50,-33.91,N-SF6HT,2.00,97.72,,
LEN,TL,AC,AC300-100-A,100.03,30.00,70.00,N-BAF10,5.00,-57.02,N-SF6HT,2.00,-284.40,,
LEN,TL,AC,AC300-100-B,100.16,30.00,49.09,N-BAF10,6.00,-55.34,N-SF6HT,2.00,557.40,,
LEN,TL,AC,AC300-100-C,99.85,30.00,33.50,N-BAF10,8.50,-39.17,N-SF6HT,2.20,100.69,,
LEN,TL,AC,AC508-075-A,74.90,50.80,50.80,E-BAF11,20.00,-41.69,N-SF11,3.00,-247.70,,
LEN,TL,AC,AC508-075-B,74.78,50.80,51.80,N-LAK22,12.00,-93.11,N-SF6HT,5.00,-291.07,,
LEN,TL,AC,AC508-075-C,75.42,50.80,49.89,N-BAF10,19.00,-39.09,N-SF6HT,2.50,-230.70,,
LEN,TL,AC,AC508-080-A,80.17,50.80,54.90,N-BAF10,16.00,-46.40,N-SF6HT,2.00,-247.20,,
LEN,TL,AC,AC508-080-B,80.27,50.80,51.80,N-BAF10,16.00,-44.60,N-SF6HT,2.00,-312.60,,
LEN,TL,AC,AC508-080-C,80.26,50.80,47.21,N-BAF10,18.00,-43.15,N-SF6HT,2.50,-640.70,,
LEN,TL,AC,AC508-100-A,99.92,50.80,71.12,N-BAF10,16.00,-44.17,SF10,4.00,-363.10,,
LEN,TL,AC,AC508-100-B,100.09,50.80,65.77,N-LAK22,13.00,-55.98,N-SF6HT,2.00,-280.55,,
LEN,TL,AC,AC508-100-C,99.71,50.80,44.67,N-BAF10,17.00,-48.31,N-SF6HT,2.50,259.40,,
LEN,TL,AC,AC508-1000-A,996.90,50.80,738.50,N-BK7,4.00,-398.10,SF2,2.00,-1023.30,,
LEN,TL,AC,AC508-1000-B,998.91,50.80,494.30,N-BAF10,4.20,-398.10,SF10,2.80,3440.00,,
LEN,TL,AC,AC508-1000-C,1009.54,50.80,172.98,SF5,6.00,-234.27,N-SF6HT,3.00,336.00,,
LEN,TL,AC,AC508-150-A,148.82,50.80,83.18,N-BK7,12.00,-72.12,SF5,3.00,-247.70,,
LEN,TL,AC,AC508-150-B,151.42,50.80,112.21,N-LAK22,8.20,-95.94,N-SF6HT,5.00,-325.10,,
LEN,TL,AC,AC508-150-C,150.15,50.80,39.48,N-LAK22,18.00,-49.89,N-SF6HT,5.00,83.60,,
LEN,TL,AC,AC508-200-A,199.82,50.80,109.86,N-BK7,8.50,-93.11,SF2,2.00,-376.25,,
LEN,TL,AC,AC508-200-B,199.99,50.80,134.00,N-LAK22,8.20,-109.20,N-SF6HT,5.00,-515.20,,
LEN,TL,AC,AC508-200-C,199.23,50.80,67.14,N-LAK22,12.00,-87.57,N-SF6HT,3.00,234.27,,
LEN,TL,AC,AC508-250-A,250.04,50.80,137.09,N-BK7,7.50,-111.69,SF2,2.00,-459.20,,
LEN,TL,AC,AC508-250-B,250.33,50.80,121.22,N-BAF10,6.60,-146.14,N-SF6HT,2.60,1235.90,,
LEN,TL,AC,AC508-250-C,250.19,50.80,78.56,N-BAF10,10.00,-95.94,N-SF6HT,3.00,230.70,,
LEN,TL,AC,AC508-300-A,299.98,50.80,161.50,N-BK7,6.00,-134.00,SF2,2.00,-580.80,,
LEN,TL,AC,AC508-300-B,299.94,50.80,201.80,N-LAK22,6.60,-161.50,N-SF6HT,2.60,-760.00,,
LEN,TL,AC,AC508-300-C,301.42,50.80,93.76,N-BAF10,8.50,-112.21,N-SF6HT,3.00,280.55,,
LEN,TL,AC,AC508-400-A,400.05,50.80,219.80,N-BK7,5.00,-186.75,SF2,2.00,-760.00,,
LEN,TL,AC,AC508-400-B,396.97,50.80,280.55,N-LAK22,4.50,-208.00,N-SF6HT,2.60,-859.00,,
LEN,TL,AC,AC508-400-C,402.67,50.80,125.60,N-BAF10,6.50,-161.50,N-SF6HT,3.00,376.25,,
LEN,TL,AC,AC508-500-A,499.76,50.80,272.90,N-BK7,5.00,-234.27,SF2,2.00,-970.00,,
LEN,TL,AC,AC508-500-B,500.45,50.80,346.70,N-LAK22,4.50,-259.41,N-SF6HT,2.60,-1132.40,,
LEN,TL,AC,AC508-500-C,499.72,50.80,86.10,SF5,8.80,-103.20,N-SF6HT,3.00,165.96,,
LEN,TL,AC,AC508-750-A,749.99,50.80,417.80,N-BK7,4.50,-336.00,SF2,2.00,-1330.50,,
LEN,TL,AC,AC508-750-B,750.00,50.80,376.80,N-BAF10,4.20,-291.07,SF10,2.50,2910.00,,
LEN,TL,AC,AC508-750-C,748.94,50.80,91.62,SF10,8.80,-95.94,N-SF6HT,3.00,130.62,,
LEN,TL,ACN,ACN127-020-A,-20.09,12.70,-13.53,N-BAF10,1.50,14.25,N-SF6HT,3.00,87.90,,
LEN,TL,ACN,ACN127-020-B,-20.03,12.70,-12.34,N-BAF10,1.50,14.03,N-SF6HT,3.00,152.76,,
LEN,TL,ACN,ACN127-025-A,-25.03,12.70,-16.94,N-BAF10,1.50,16.48,N-SF6HT,2.50,97.72,,
LEN,TL,ACN,ACN127-025-B,-25.01,12.70,-13.58,N-BAF10,1.50,17.13,N-SF6HT,2.80,-859.00,,
LEN,TL,ACN,ACN127-030-A,-30.01,12.70,-16.18,N-BAK4,1.50,16.48,SF5,2.30,154.20,,
LEN,TL,ACN,ACN127-030-B,-30.02,12.70,-19.25,N-LAK22,1.50,18.41,N-SF6HT,2.50,106.41,,
LEN,TL,ACN,ACN127-050-A,-50.01,12.70,-25.55,N-BAK4,1.50,25.55,SF5,2.20,372.70,,
LEN,TL,ACN,ACN127-050-B,-50.02,12.70,-24.43,N-BAF10,1.50,30.41,N-SF6HT,2.00,-291.07,,
LEN,TL,ACN,ACN254-040-A,-40.14,25.40,-27.05,N-BAF10,2.00,27.05,N-SF11,5.00,189.23,,
LEN,TL,ACN,ACN254-040-B,-40.09,25.40,-24.43,N-BAF10,2.00,27.86,N-SF6HT,4.00,332.30,,
LEN,TL,ACN,ACN254-050-A,-50.01,25.40,-33.96,N-BAF10,2.00,32.51,N-SF6HT,4.50,189.23,,
LEN,TL,ACN,ACN254-050-B,-50.05,25.40,-27.05,N-BAF10,2.00,33.91,N-SF6HT,4.00,-1330.50,,
LEN,TL,ACN,ACN254-075-A,-75.09,25.40,-39.02,N-BAK4,2.00,39.17,SF5,4.30,489.80,,
LEN,TL,ACN,ACN254-075-B,-74.89,25.40,-37.15,N-BAF10,2.00,46.40,N-SF6HT,3.80,-494.30,,
LEN,TL,ACN,ACN254-100-A,-100.12,25.40,-52.00,N-BAK4,2.00,49.89,SF5,4.00,600.00,,
LEN,TL,ACN,ACN254-100-B,-100.06,25.40,-48.75,N-BAF10,2.00,59.02,N-SF6HT,3.40,-580.80,,
