Type,ID,Cat,Part #,EFL,Height,Length,R1,Glass,CT,R2,,,,
CYL,TL,VIS,LJ1309L2,200.00,100.00,100.00,103.36,N-BK7,15.89,0.00,,,,
CYL,TL,VIS,LJ1653L1,200.00,30.00,30.00,103.36,N-BK7,4.09,0.00,,,,
CYL,TL,VIS,LJ1653L2,200.00,30.00,30.00,103.36,N-BK7,4.09,0.00,,,,
CYL,TL,VIS,LJ1267L1,250.00,60.00,60.00,129.20,N-BK7,6.53,0.00,,,,
CYL,TL,VIS,LJ1277L1,250.00,20.00,20.00,129.20,N-BK7,3.38,0.00,,,,
CYL,TL,VIS,LJ1277L2,250.00,20.00,20.00,129.20,N-BK7,3.38,0.00,,,,
CYL,TL,VIS,LJ1558L1,300.12,30.00,30.00,155.10,N-BK7,3.72,0.00,,,,
CYL,TL,VIS,LJ1558L2,300.12,30.00,30.00,155.10,N-BK7,3.72,0.00,,,,
CYL,TL,VIS,LJ1996L1,300.12,60.00,60.00,155.10,N-BK7,5.93,0.00,,,,
CYL,TL,VIS,LJ1363L1,400.00,30.00,30.00,206.72,N-BK7,3.54,0.00,,,,
CYL,TL,VIS,LJ1363L2,400.00,30.00,30.00,206.72,N-BK7,3.54,0.00,,,,
CYL,TL,VIS,LJ1144L1,500.00,30.00,30.00,258.40,N-BK7,3.43,0.00,,,,
CYL,TL,VIS,LJ1144L2,500.00,30.00,30.00,258.40,N-BK7,3.43,0.00,,,,
CYL,TL,UV,LJ4147,501.76,30.00,45.00,230.04,SILICA,3.48,0.00,,,,
CYL,TL,VIS,LJ1836L1,700.00,30.00,30.00,361.76,N-BK7,3.31,0.00,,,,
CYL,TL,VIS,LJ1836L2,700.00,30.00,30.00,361.76,N-BK7,3.31,0.00,,,,
CYL,TL,VIS,LJ1516L1,1000.00,30.00,30.00,516.80,N-BK7,3.21,0.00,,,,
CYL,TL,VIS,LJ1516L2,1000.00,30.00,30.00,516.80,N-BK7,3.21,0.00,,,,
