TYPE,MAN ID,CAT,S/N,EFL,DIA,RD 1,GL 1,TH 1,RD 2,GL 2,TH 2,RD 3,GL 3,TH 3,RD 4
LEN,LP,,312300,54.725,22.4,25.119, SILICA    ,4.1,0
LEN,LP,,312301,65.985,22.4,30.287, SILICA    ,3.7,0
LEN,LP,,312302,87.991,22.4,40.388, SILICA    ,3.1,0
LEN,LP,,312303,109.98,22.4,50.481, SILICA    ,2.8,0
LEN,LP,,312304,217.865,22.4,100, SILICA    ,2.1,0
LEN,LP,,312305,153.131,31.5,70.287, SILICA    ,3.3,0
LEN,LP,,312306,434.706,31.5,199.53, SILICA    ,2.1,0
LEN,LP,,312312,51.095,40,26.416, N-BK7     ,11.8,0
LEN,LP,,312314,40.296,22.4,20.833, N-BK7     ,5,0
LEN,LP,,312315,51.095,22.4,26.416, N-BK7     ,4.5,0
LEN,LP,,312316,61.607,22.4,31.851, N-BK7     ,4,0
LEN,LP,,312317,80.981,22.4,41.867, N-BK7     ,3.5,0
LEN,LP,,312318,101.219,22.4,52.33, N-BK7     ,3.2,0
LEN,LP,,312319,151.447,22.4,78.298, N-BK7     ,3,0
LEN,LP,,312320,201.954,22.4,104.41, N-BK7     ,2.7,0
LEN,LP,,312321,50.366,25.4,26.039, N-BK7     ,5,0
LEN,LP,,312322,79.824,25.4,41.269, N-BK7     ,4,0
LEN,LP,,312323,99.056,25.4,51.212, N-BK7     ,4,0
LEN,LP,,312324,151.447,25.4,78.298, N-BK7     ,4,0
LEN,LP,,312325,199.072,25.4,102.92, N-BK7     ,4,0
LEN,LP,,312326,297.853,25.4,153.99, N-BK7     ,4,0
LEN,LP,,312327,503.656,25.4,260.39, N-BK7     ,4,0
LEN,LP,,312328,983.462,25.4,508.45, N-BK7     ,4,0
LEN,LP,,312329,20.195,12.5,10.441, N-BK7     ,3.5,0
LEN,LP,,312330,25.242,12.5,13.05, N-BK7     ,3,0
LEN,LP,,312331,30.435,18,15.735, N-BK7     ,4.5,0
LEN,LP,,312332,61.607,31.5,31.851, N-BK7     ,6.3,0
LEN,LP,,312333,101.219,31.5,52.33, N-BK7     ,4.5,0
LEN,LP,,312334,101.219,50,52.33, N-BK7     ,9,0
LEN,LP,,312335,151.447,50,78.298, N-BK7     ,6.5,0
LEN,LP,,312340,61.607,40,31.851, N-BK7     ,9.5,0
LEN,LP,,312341,151.447,40,78.298, N-BK7     ,5,0
LEN,LP,,312350,79.824,40,41.269, N-BK7     ,7.5,0
LEN,LP,,312351,30,12.7,15.51, N-BK7     ,3,0
LEN,LP,,312352,50.366,12.7,26.039, N-BK7     ,3,0
LEN,LP,,312353,79.824,12.7,41.269, N-BK7     ,3,0
LEN,LP,,312354,99.056,12.7,51.212, N-BK7     ,3,0
LEN,LP,,312355,149.282,12.7,77.179, N-BK7     ,3,0
LEN,LP,,312356,199.072,12.7,102.92, N-BK7     ,3,0
LEN,LP,,312357,297.853,12.7,153.99, N-BK7     ,3,0
LEN,LP,,312358,503.656,12.7,260.39, N-BK7     ,3,0
LEN,LP,,312359,983.462,12.7,508.45, N-BK7     ,3,0
LEN,LP,,312360,91.518,63,47.315, N-BK7     ,14.5,0
LEN,LP,,312361,140.932,63,72.862, N-BK7     ,10,0
LEN,LP,,312362,201.954,63,104.41, N-BK7     ,8,0
LEN,LP,,312363,302.166,63,156.22, N-BK7     ,5.5,0
LEN,LP,,312364,250.619,150,129.57, N-BK7     ,27,0
LEN,LP,,312365,339.052,150,175.29, N-BK7     ,20.5,0
LEN,LP,,312366,503.656,150,260.39, N-BK7     ,15,0
LEN,LP,,312367,1012.18,150,523.3, N-BK7     ,9,0
LEN,LP,,312368,2019.53,150,1044.1, N-BK7     ,8.5,0
LEN,LP,,312390,133.048,100,68.786, N-BK7     ,24,0
LEN,LP,,312391,302.166,100,156.22, N-BK7     ,10.7,0
LEN,LP,,312401,40.2,31.5,22.874, N-BAK4    ,8.3,0
LEN,LP,,312402,50.251,31.5,28.593, N-BAK4    ,6.7,0
LEN,LP,,312403,80.402,31.5,41.568, N-BK7     ,5,0
LEN,LP,,312404,150.911,31.5,78.021, N-BK7     ,4,0
LEN,LP,,312405,201.238,31.5,104.04, N-BK7     ,3.2,0
LEN,LP,,312406,301.089,31.5,155.663, N-BK7     ,3,0
LEN,LP,,312407,501.888,31.5,259.476, N-BK7     ,2.5,0
LEN,LP,,312411,44.358,31.5,20.316, SILICA    ,9.5,0
