TYPE,MANUF. ID,CAT,P/N,Focal Lth,CA,Radius 1,Material,Thick,Radius 2
LEN,MG,,01LPX011,15.056,9,7.781,BK7,3.8,0
LEN,MG,,01LPX013,17.063,5.4,8.818,BK7,2.5,0
LEN,MG,,01LPX015,18.067,7.2,9.337,BK7,2.9,0
LEN,MG,,01LPX017,18.067,13.5,9.337,BK7,5.7,0
LEN,MG,,01LPX019,20.074,9,10.374,BK7,3.3,0
LEN,MG,,01LPX021,20.074,10.8,10.374,BK7,3.9,0
LEN,MG,,01LPX023,21.078,13.5,10.893,BK7,5,0
LEN,MG,,01LPX025,22.082,8.1,11.412,BK7,2.9,0
LEN,MG,,01LPX027,22.082,9,11.412,BK7,3.1,0
LEN,MG,,01LPX029,25.093,10.8,12.968,BK7,3.5,0
LEN,MG,,01LPX035,25.093,12.6,12.968,BK7,4,0
LEN,MG,,01LPX037,25.495,5.67,13.176,BK7,2.4,0
LEN,MG,,01LPX041,25.495,22.86,13.176,BK7,11.4,0
LEN,MG,,01LPX043,26.097,12.15,13.487,BK7,3.8,0
LEN,MG,,01LPX045,28.706,11.43,14.835,BK7,3.4,0
LEN,MG,,01LPX047,30.112,10.53,15.562,BK7,3.2,0
LEN,MG,,01LPX049,30.112,16.65,15.562,BK7,5,0
LEN,MG,,01LPX055,31.817,22.86,16.443,BK7,7.9,0
LEN,MG,,01LPX057,32.821,14.22,16.962,BK7,3.9,0
LEN,MG,,01LPX061,34.127,19.8,17.637,BK7,5.8,0
LEN,MG,,01LPX063,35.13,18,18.155,BK7,4.2,0
LEN,MG,,01LPX064,35.13,27,18.155,BK7,9.9,0
LEN,MG,,01LPX065,36.134,13.5,18.674,BK7,3.6,0
LEN,MG,,01LPX067,38.241,11.43,19.763,BK7,3,0
LEN,MG,,01LPX079,40.149,9,20.749,BK7,2.6,0
LEN,MG,,01LPX081,40.149,18,20.749,BK7,4.5,0
LEN,MG,,01LPX083,40.149,20.16,20.749,BK7,5.3,0
LEN,MG,,01LPX084,40.149,27,20.749,BK7,8.4,0
LEN,MG,,01LPX085,43.16,11.7,22.305,BK7,3,0
